name,value
risk meter faq,0.29
ad campaign hit,-0.52
scanner,4.86
connectors,4.62
video,1.43
clicked on phone number,0.1
features,0.24
partners,-2.33
clicked on the white paper,-0.43
visited the api page [website],0.19
blog,-4.24
select connectors,0.48
viewed risk meter,0.1
presentation,-0.14
resources,0.29
toggled facet,0.1
jobs,-5.95
/security,0.05
faq,-2.09
visited the verisign idefense landing page [website],0.1
arrived at website,-0.19
viewed asset details,0.19
press,-2.33
/tour,2.19
about,-6.52
assets,0.48
visited the 5 secrets research paper page [website],0.19
search engine hit,-1.48
homepage,-11.05
logged into app,0.19
vulnerability,0.43
arrived on the dell landing page,0.1
created connector,0.1
contact,-4.95
dashboard,0.86
threat,1.52
login,2.62
