source,target,value
Assets,Blog,1
viewed risk meter,/logged_out,1
viewed risk meter,viewed asset details,6
Connectors,viewed asset details,1
viewed risk meter,toggled prioritized facet,12
asset-add-tag,viewed risk meter,1
/security,risk.io,1
verified connector,Dashboard,1
viewed risk meter,visited vulnerabilities tab,29
Dashboard,visited omniview [app],5
visited vulnerabilities tab,toggled trending facet,2
opened threat drawer,risk.io,17
created risk meter,Dashboard,1
Dashboard,Assets,2
toggled prioritized facet,Assets,1
Campaign,risk.io,2
opened hud,closed hud,2
toggled facet sort order,visited vulnerabilities tab,1
Assets,synced vulnerabilities,214
visited vulnerabilities tab,deprioritized vulnerability,1
closed threat drawer,Connectors,1
visited patches tab,Assets,4
visited vulnerabilities tab,viewed vulnerability details,1
viewed risk meter,set asset priority,2
visited vulnerabilities tab,exported vulnerabilities,2
searched omni,viewed risk meter,36
Connectors,viewed homepage,7
Dashboard,Blog,1
Sign-Up,arrived on scanners page,1
Assets,toggled zero_day facet,1
arrived on scanners page,Sign-Up,3
visited omniview [app],toggled facet,1
Blog,toggled has_known_exploits facet,1
verified connector,Ran a Connector,1
toggled top_exploit facet,viewed risk meter,31
visited the users page [app],Assets,1
risk.io,Blog,8
Sign-Up,opened threat drawer,2
viewed vulnerability details,risk.io,37
Assets,visited patches tab,1
closed hud,Dashboard,1
opened hud,visited omniview [app],1
exported vulnerabilities,Dashboard,1
Dashboard,toggled facet,4
visited vulnerabilities tab,visited patches tab,11
risk.io,asset-bulk-edit-vuln-status,1
created risk meter,viewed risk meter,1
Assets,opened threat drawer,1
created new tech risk meter,Dashboard,2
toggled facet,viewed risk meter,21
visited the new users page [app],viewed risk meter,1
viewed homepage,toggled top_exploit facet,1
logged into app,opened threat drawer,2
Assets,logged into app,1
visited patches tab,toggled has_known_exploits facet,1
Assets,created connector,3
visited omniview [app],played home page video,1
visited omniview [app],Dashboard,26
opened threat drawer,closed threat drawer,2
Connectors,Assets,10
risk.io,logged into app,64
viewed risk meter,exported fixes via email,1
visited vulnerabilities tab,synced vulnerabilities,1
asset-bulk-edit-vuln-status,risk.io,3
Assets,created risk meter,1
visited patches tab,Connectors,1
Sign-Up,Dashboard,1
viewed vulnerability details,Dashboard,3
risk.io,Dashboard,302
toggled top_exploit facet,toggled has_known_exploits facet,4
visited patches tab,toggled trending facet,1
visited omniview [app],searched omni,6
visited omniview [app],toggled trending facet,1
logged into app,Dashboard,33
created connector,risk.io,8
visited omniview [app],Blog,2
Sign-Up,created connector,6
visited patches tab,toggled top_exploit facet,1
risk.io,visited patches tab,1
asset-bulk-edit-vuln-status,Assets,2
Features,risk.io,5
searched omni,risk.io,4
logged into app,risk.io,38
Dashboard,risk.io,360
Ran a Connector,created connector,12
Assets,risk.io,17
viewed risk meter,toggled has_known_exploits facet,15
risk.io,clicked sync scanner data,1
risk.io,visited omniview [app],203
viewed risk meter,visited omniview [app],15
opened hud,Dashboard,1
risk.io,arrived at resources page,3
Assets,toggled facet,1
synced vulnerabilities,closed hud,1
closed hud,risk.io,1
risk.io,Features,3
Connectors,search engine hit,1
risk.io,arrived at contact page,2
clicked through threat,closed threat drawer,2
Dashboard,viewed homepage,16
visited omniview [app],Connectors,11
created connector,Dashboard,1
viewed risk meter,visited patches tab,7
visited omniview [app],synced vulnerabilities,2
set asset priority,asset-set-priority,3
synced vulnerabilities,Dashboard,3
created connector,opened threat drawer,1
Assets,viewed risk meter,2
created new tech risk meter,risk.io,7
toggled has_known_exploits facet,toggled top_exploit facet,1
viewed asset details,risk.io,59
