source,target,value
search engine hit,arrived at jobs page,3
/tour,arrived at about page,2
Connectors,search engine hit,5
Features,Sign-Up,1
visited omniview [app],clicked tour button (homepage),3
Campaign,risk.io,29
viewed homepage,Features,1
visited omniview [app],search engine hit,11
clicked on phone number,arrived at contact page,1
clicked nmap ad - stop breaches,risk.io,1
clicked tour button (homepage),risk.io,7
risk.io,search engine hit,175
Connectors,viewed homepage,1
arrived at contact page,risk.io,20
visited omniview [app],Blog,1
arrived at presentation page,risk.io,3
search engine hit,clicked on phone number,1
/tour,click sync scanner button (tour page),1
visited omniview [app],arrived at resources page,1
visited omniview [app],Features,6
Connectors,Blog,2
search engine hit,Blog,5
visited omniview [app],played home page video,4
search engine hit,risk.io,137
viewed homepage,arrived at contact page,1
visited omniview [app],arrived at about page,5
risk.io,Blog,52
/tour,Blog,1
clicked on the white paper,search engine hit,1
visited omniview [app],Sign-Up,3
risk.io,logged into app,1
viewed homepage,played home page video,1
Blog,Campaign,11
viewed homepage,Connectors,1
risk.io,visited omniview [app],120
Features,viewed homepage,1
clicked on the white paper,risk.io,8
risk.io,arrived at presentation page,3
risk.io,arrived at contact page,39
viewed homepage,clicked tour button (homepage),1
visited omniview [app],Connectors,4
/security,search engine hit,1
viewed homepage,Campaign,1
risk.io,arrived at resources page,11
risk.io,FAQ,25
search engine hit,Sign-Up,1
played home page video,Connectors,1
risk.io,Features,103
visited omniview [app],played homepage sendgrid video,1
Campaign,viewed homepage,1
risk.io,arrived on the dell landing page,3
logged into app,Features,1
viewed homepage,visited omniview [app],145
search engine hit,Connectors,6
visited omniview [app],arrived at contact page,1
Campaign,clicked display ad - stop breaches,1
risk.io,arrived at about page,48
Features,visited omniview [app],1
Features,search engine hit,1
played home page video,logged into app,1
visited omniview [app],clicked on phone number,2
arrived at resources page,risk.io,12
risk.io,/security,12
search engine hit,viewed homepage,23
risk.io,arrived at partners page,19
/tour,Features,1
arrived at press page,risk.io,6
Blog,viewed homepage,3
search engine hit,/security,2
clicked on the white paper,Connectors,1
risk.io,arrived at press page,12
Blog,risk.io,80
search engine hit,arrived at about page,2
/tour,risk.io,19
played home page video,risk.io,3
risk.io,/tour,28
Blog,search engine hit,11
visited omniview [app],played homepage ptc video,1
Blog,visited omniview [app],3
risk.io,arrived at login page,5
risk.io,arrived at jobs page,43
arrived on the dell landing page,risk.io,3
arrived at about page,risk.io,34
viewed homepage,Blog,2
Connectors,Features,1
risk.io,clicked on phone number,1
/tour,/security,1
arrived at jobs page,risk.io,26
Connectors,risk.io,98
arrived at login page,risk.io,4
arrived at partners page,risk.io,3
played homepage sendgrid video,risk.io,2
visited omniview [app],viewed homepage,47
arrived at about page,viewed homepage,1
Sign-Up,risk.io,23
risk.io,clicked tour button (homepage),3
risk.io,Campaign,24
visited omniview [app],/security,1
click sync scanner button (tour page),risk.io,3
FAQ,risk.io,6
clicked display ad - stop breaches,clicked nmap ad - stop breaches,1
/security,risk.io,8
Campaign,Blog,5
Features,Connectors,1
viewed homepage,risk.io,117
viewed homepage,played homepage sendgrid video,1
risk.io,Connectors,103
clicked on phone number,Sign-Up,1
Features,risk.io,64
logged into app,risk.io,2
viewed homepage,arrived at about page,3
visited omniview [app],arrived at jobs page,3
risk.io,click sync scanner button (tour page),2
risk.io,Sign-Up,24
viewed homepage,search engine hit,8
visited omniview [app],logged into app,1
risk.io,viewed homepage,342
clicked on phone number,risk.io,3
played homepage ptc video,risk.io,1
risk.io,clicked on the white paper,10
Features,FAQ,1
/tour,clicked on phone number,1
search engine hit,visited omniview [app],13
visited omniview [app],risk.io,163
search engine hit,arrived at contact page,1
arrived at jobs page,search engine hit,1
